@relation bike_sharing_database

@attribute temperature real
@attribute humidity real
@attribute windspeed real
@attribute casual_users integer
@attribute registered_users integer
@attribute weathersit {clear, cloudy, rainy/snowy}

@data
10.66,38.00,11.0014,12,74,clear
9.02,51.00,11.0014,9,163,clear
9.02,51.00,8.9981,5,158,clear
9.02,55.00,6.0032,3,109,clear
8.2,51.00,11.0014,3,66,clear
9.02,55.00,15.0013,0,48,cloudy
9.02,51.00,19.0012,1,51,cloudy
8.2,59.00,12.998,4,19,cloudy
8.2,64.00,12.998,4,13,cloudy
8.2,69.00,15.0013,2,5,cloudy
8.2,69.00,15.0013,0,1,cloudy
8.2,69.00,8.9981,0,1,cloudy
9.02,55.00,0,0,5,rainy/snowy
8.2,69.00,0,8,26,cloudy
8.2,69.00,8.9981,8,76,clear
8.2,51.00,16.9979,20,190,clear
8.2,47.00,19.9995,9,125,clear
9.02,37.00,22.0028,16,47,clear
8.2,40.0,15.0013,19,48,cloudy
8.2,37.00,16.9979,9,50,cloudy
8.2,37.00,19.0012,9,64,cloudy
8.2,40.0,16.9979,7,43,cloudy
8.2,37.00,11.0014,9,63,cloudy
8.2,37.00,11.0014,5,82,cloudy
8.2,37.00,0,9,178,cloudy
8.2,40.0,6.0032,7,116,clear
6.56,55.00,6.0032,3,92,clear
7.38,47.00,7.0015,1,50,clear
7.38,47.00,8.9981,0,39,clear
7.38,43.00,11.0014,2,34,cloudy
7.38,51.00,11.0014,1,14,cloudy
7.38,51.00,11.0014,1,24,cloudy
7.38,55.00,6.0032,1,15,cloudy
7.38,55.00,0,3,13,cloudy
7.38,55.00,11.0014,0,7,rainy/snowy
7.38,55.00,11.0014,0,1,rainy/snowy
6.56,74.00,11.0014,0,5,cloudy
6.56,74.00,11.0014,0,2,cloudy
6.56,74.00,7.0015,1,8,cloudy
6.56,93.00,7.0015,0,15,rainy/snowy
6.56,93.00,7.0015,0,20,rainy/snowy
7.38,80.0,11.0014,5,56,cloudy
8.2,69.00,26.0027,2,60,cloudy
8.2,59.00,23.9994,8,90,cloudy
8.2,44.00,22.0028,7,95,clear
8.2,32.00,32.9975,12,83,clear
8.2,32.00,30.0026,5,69,clear
7.38,29.00,30.0026,8,68,clear
6.56,37.00,36.9974,5,64,clear
5.74,39.00,19.9995,3,52,clear
5.74,36.00,16.9979,4,26,clear
4.92,36.00,16.9979,0,28,clear
4.92,39.00,23.9994,2,35,clear
4.92,36.00,26.0027,1,33,clear
4.1,39.00,30.0026,0,22,clear
4.1,42.00,26.0027,1,24,clear
4.1,42.00,31.0009,0,12,clear
4.1,46.00,31.0009,0,11,clear
4.1,46.00,27.9993,0,4,clear
3.28,53.00,12.998,0,1,clear
3.28,53.00,12.998,0,1,clear
4.1,49.00,19.0012,0,1,clear
3.28,53.00,12.998,1,5,clear
4.1,49.00,19.0012,0,10,clear
4.92,46.00,35.0008,0,19,clear
5.74,43.00,26.0027,0,49,clear
6.56,40.0,35.0008,2,47,clear
7.38,37.00,30.0026,4,79,clear
8.2,34.00,30.0026,6,69,clear
9.02,32.00,31.0009,8,64,clear
9.02,35.00,23.9994,5,77,clear
8.2,34.00,30.0026,13,79,clear
7.38,37.00,26.0027,3,59,clear
6.56,40.0,22.0028,4,44,clear
6.56,43.00,22.0028,1,40,clear
5.74,46.00,16.9979,0,38,clear
5.74,46.00,27.9993,1,19,clear
5.74,46.00,19.9995,5,10,clear
4.92,50.0,12.998,0,6,clear
4.92,50.0,19.0012,2,3,clear
4.92,50.0,19.0012,1,0,clear
4.92,50.0,15.0013,0,3,clear
4.92,50.0,15.0013,0,1,clear
4.1,54.00,8.9981,1,2,clear
4.1,54.00,16.9979,0,3,clear
4.92,50.0,19.0012,0,31,clear
4.92,50.0,15.0013,2,75,clear
4.92,50.0,19.0012,4,184,cloudy
5.74,50.0,16.9979,2,92,cloudy
5.74,50.0,19.9995,0,31,cloudy
6.56,47.00,19.0012,2,28,cloudy
8.2,40.0,19.0012,5,47,cloudy
8.2,40.0,19.0012,4,50,cloudy
8.2,40.0,15.0013,0,47,cloudy
8.2,40.0,15.0013,2,43,cloudy
8.2,40.0,8.9981,4,70,clear
8.2,40.0,7.0015,4,174,clear
8.2,40.0,15.0013,1,154,clear
6.56,47.00,11.0014,3,92,clear
6.56,50.0,11.0014,1,73,clear
5.74,59.00,12.998,1,37,clear
5.74,59.00,11.0014,2,22,clear
5.74,59.00,11.0014,0,18,clear
5.74,59.00,7.0015,2,10,clear
5.74,59.00,11.0014,0,3,clear
6.56,55.00,12.998,0,3,cloudy
6.56,55.00,8.9981,0,6,cloudy
6.56,55.00,8.9981,0,27,cloudy
6.56,55.00,0,2,97,cloudy
7.38,51.00,6.0032,3,214,cloudy
7.38,51.00,11.0014,3,127,cloudy
8.2,51.00,11.0014,3,51,cloudy
8.2,47.00,8.9981,4,31,cloudy
8.2,51.00,7.0015,2,55,cloudy
8.2,59.00,6.0032,6,46,cloudy
8.2,59.00,6.0032,3,60,cloudy
6.56,80.0,6.0032,2,45,cloudy
6.56,86.00,15.0013,4,72,cloudy
6.56,86.00,15.0013,6,130,cloudy
6.56,93.00,7.0015,1,94,rainy/snowy
6.56,93.00,0,0,51,rainy/snowy
6.56,93.00,12.998,0,32,rainy/snowy
6.56,86.00,6.0032,0,20,rainy/snowy
6.56,93.00,7.0015,1,28,rainy/snowy
6.56,93.00,6.0032,1,18,rainy/snowy
6.56,86.00,6.0032,0,7,cloudy
6.56,86.00,7.0015,0,6,cloudy
5.74,86.00,8.9981,0,1,clear
5.74,86.00,11.0014,0,5,clear
4.92,93.00,8.9981,0,16,clear
5.74,69.00,8.9981,0,54,clear
6.56,59.00,11.0014,3,125,clear
6.56,59.00,22.0028,3,78,clear
7.38,55.00,15.0013,0,39,clear
8.2,51.00,26.0027,3,32,clear
8.2,47.00,39.0007,3,52,clear
9.02,44.00,23.9994,0,49,clear
8.2,47.00,22.0028,0,44,clear
8.2,47.00,27.9993,1,48,clear
9.02,44.00,22.0028,5,63,clear
8.2,47.00,23.9994,0,139,clear
8.2,47.00,35.0008,2,135,clear
7.38,47.00,27.9993,1,82,clear
6.56,50.0,22.0028,2,54,clear
6.56,55.00,22.0028,0,57,clear
6.56,55.00,30.0026,1,32,clear
5.74,59.00,27.9993,1,19,clear
5.74,59.00,19.0012,1,6,clear
5.74,50.0,19.0012,0,2,clear
5.74,50.0,23.9994,0,2,clear
5.74,50.0,22.0028,0,3,clear
5.74,50.0,16.9979,0,4,clear
5.74,50.0,19.9995,0,3,clear
4.92,54.00,8.9981,0,28,clear
4.92,54.00,8.9981,0,72,clear
5.74,50.0,12.998,5,197,clear
5.74,50.0,22.0028,2,137,clear
6.56,50.0,23.9994,2,36,cloudy
8.2,44.00,30.0026,4,33,cloudy
8.2,44.00,27.9993,3,49,clear
9.02,41.00,30.0026,2,81,clear
9.02,41.00,26.0027,3,39,clear
9.84,38.00,19.9995,5,55,clear
9.84,38.00,23.9994,2,76,clear
8.2,40.0,19.0012,4,158,clear
8.2,40.0,22.0028,3,141,clear
6.56,47.00,16.9979,1,98,clear
6.56,47.00,15.0013,0,64,clear
5.74,46.00,19.9995,0,40,clear
5.74,46.00,22.0028,0,30,clear
4.92,50.0,12.998,1,14,clear
4.92,50.0,12.998,0,14,clear
4.1,54.00,11.0014,0,5,clear
4.1,54.00,8.9981,0,1,clear
4.1,54.00,7.0015,0,1,clear
4.1,54.00,6.0032,0,8,clear
4.1,54.00,0,0,17,clear
4.1,74.00,11.0014,0,70,clear
4.92,68.00,0,2,156,clear
5.74,69.00,8.9981,0,117,clear
7.38,55.00,12.998,4,40,clear
7.38,51.00,19.0012,6,47,clear
8.2,44.00,16.9979,2,59,clear
9.02,37.00,26.0027,4,73,clear
9.02,41.00,19.0012,5,59,clear
9.84,38.00,11.0014,9,59,clear
9.02,41.00,7.0015,3,87,clear
9.02,41.00,11.0014,4,155,clear
8.2,47.00,0,5,134,clear
6.56,59.00,6.0032,3,89,clear
7.38,59.00,0,0,68,clear
6.56,69.00,0,4,48,clear
6.56,69.00,0,2,34,cloudy
7.38,55.00,0,1,26,cloudy
7.38,55.00,0,3,25,clear
6.56,59.00,6.0032,2,18,cloudy
6.56,59.00,6.0032,0,12,cloudy
6.56,59.00,0,1,7,cloudy
6.56,59.00,0,0,5,cloudy
6.56,59.00,0,0,1,clear
5.74,63.00,7.0015,1,2,clear
5.74,63.00,0,1,9,clear
5.74,63.00,8.9981,1,22,clear
6.56,64.00,8.9981,2,31,clear
7.38,59.00,11.0014,2,57,clear
8.2,55.00,15.0013,18,54,clear
9.84,48.00,15.0013,15,74,clear
11.48,38.00,19.9995,21,80,clear
12.3,39.00,19.0012,26,92,clear
13.12,36.00,12.998,21,108,cloudy
13.94,34.00,12.998,33,95,cloudy
13.12,36.00,19.0012,29,54,cloudy
12.3,45.00,16.9979,15,69,cloudy
13.12,39.00,16.9979,14,60,cloudy
13.12,39.00,16.9979,6,35,cloudy
13.12,39.00,15.0013,6,51,cloudy
12.3,42.00,7.0015,0,26,cloudy
12.3,45.00,19.0012,5,39,clear
10.66,56.00,0,6,33,clear
10.66,56.00,8.9981,4,19,clear
10.66,56.00,6.0032,3,13,clear
9.02,69.00,0,9,6,clear
10.66,56.00,11.0014,0,1,clear
10.66,56.00,11.0014,1,1,cloudy
10.66,56.00,11.0014,0,1,cloudy
9.84,56.00,19.9995,0,3,cloudy
9.02,55.00,19.0012,0,18,clear
9.02,51.00,16.9979,3,29,clear
9.02,51.00,19.0012,8,71,clear
9.84,44.00,16.9979,23,70,clear
9.84,41.00,19.0012,29,75,clear
10.66,35.00,19.9995,23,95,clear
11.48,36.00,16.9979,22,69,clear
10.66,38.00,16.9979,35,78,clear
9.84,38.00,15.0013,22,77,clear
9.02,37.00,16.9979,23,82,clear
8.2,40.0,11.0014,11,56,clear
7.38,47.00,8.9981,14,47,clear
7.38,47.00,11.0014,7,50,clear
7.38,51.00,11.0014,6,22,clear
8.2,49.00,8.9981,2,19,cloudy
8.2,40.0,7.0015,0,18,cloudy
8.2,47.00,15.0013,1,16,cloudy
8.2,44.00,12.998,1,15,cloudy
7.38,43.00,16.9979,0,8,cloudy
7.38,43.00,12.998,0,2,cloudy
7.38,43.00,8.9981,1,2,cloudy
7.38,43.00,11.0014,0,1,cloudy
7.38,43.00,12.998,0,5,cloudy
6.56,50.0,8.9981,4,9,cloudy
6.56,47.00,15.0013,3,30,cloudy
6.56,47.00,15.0013,8,39,cloudy
6.56,50.0,16.9979,7,50,cloudy
6.56,55.00,12.998,9,55,cloudy
7.38,47.00,8.9981,10,70,cloudy
7.38,47.00,8.9981,13,80,cloudy
7.38,43.00,7.0015,12,74,cloudy
8.2,47.00,11.0014,21,72,cloudy
8.2,47.00,11.0014,6,76,cloudy
8.2,51.00,12.998,4,67,clear
7.38,55.00,16.9979,7,85,cloudy
7.38,59.00,12.998,2,58,rainy/snowy
6.56,80.0,12.998,4,29,rainy/snowy
6.56,80.0,12.998,3,24,rainy/snowy
5.74,93.00,16.9979,0,13,rainy/snowy
6.56,86.00,19.0012,1,3,rainy/snowy
8.2,86.00,22.0028,0,3,cloudy
8.2,86.00,15.0013,0,22,cloudy
9.02,80.0,11.0014,2,26,cloudy
9.02,87.00,11.0014,3,32,cloudy
9.02,87.00,12.998,0,61,cloudy
9.02,82.00,12.998,1,124,cloudy
9.02,80.0,11.0014,1,132,cloudy
9.02,80.0,8.9981,1,98,cloudy
9.02,87.00,0,0,83,cloudy
9.02,93.00,7.0015,0,41,cloudy
9.02,93.00,6.0032,0,33,cloudy
9.02,93.00,0,1,19,cloudy
9.02,93.00,0,0,3,cloudy
9.02,93.00,8.9981,1,6,rainy/snowy
9.02,93.00,8.9981,0,3,rainy/snowy
9.02,93.00,8.9981,1,1,rainy/snowy
9.02,93.00,6.0032,0,7,cloudy
9.02,93.00,6.0032,0,32,cloudy
9.84,92.00,7.0015,1,89,cloudy
9.84,93.00,7.0015,1,196,cloudy
9.84,93.00,7.0015,2,107,cloudy
10.66,93.00,8.9981,1,46,cloudy
11.48,87.00,6.0032,5,47,cloudy
12.3,81.00,6.0032,5,65,cloudy
16.4,62.00,19.0012,11,67,clear
16.4,58.00,16.9979,7,68,clear
16.4,54.00,19.0012,4,78,clear
15.58,58.00,26.0027,10,94,clear
14.76,57.00,22.0028,7,190,clear
13.94,61.00,19.0012,5,156,clear
13.12,57.00,27.9993,4,108,clear
13.12,49.00,19.9995,2,74,clear
13.12,49.00,27.9993,4,55,clear
12.3,52.00,11.0014,6,53,clear
12.3,52.00,31.0009,1,27,clear
10.66,56.00,26.0027,5,8,clear
10.66,56.00,0,2,3,clear
10.66,56.00,0,0,2,clear
10.66,56.00,11.0014,0,1,clear
10.66,56.00,11.0014,0,1,clear
9.84,60.0,15.0013,0,6,clear
9.02,60.0,15.0013,0,35,clear
9.02,55.00,15.0013,1,100,clear
9.02,55.00,19.0012,2,247,clear
9.84,52.00,15.0013,3,140,cloudy
10.66,48.00,19.9995,1,56,clear
11.48,45.00,11.0014,5,63,cloudy
12.3,42.00,0,7,77,cloudy
11.48,45.00,7.0015,12,86,cloudy
12.3,45.00,8.9981,6,75,cloudy
13.12,45.00,12.998,8,62,cloudy
12.3,49.00,8.9981,8,83,cloudy
12.3,49.00,7.0015,8,207,cloudy
10.66,56.00,12.998,1,184,cloudy
10.66,56.00,22.0028,6,146,clear
10.66,60.0,19.0012,2,124,cloudy
9.84,60.0,16.9979,3,54,cloudy
9.84,65.00,19.0012,0,56,cloudy
9.84,65.00,22.0028,3,28,cloudy
9.84,70.0,16.9979,1,20,cloudy
9.84,70.0,16.9979,0,6,cloudy
9.84,75.00,11.0014,0,2,rainy/snowy
9.02,80.0,19.9995,0,1,rainy/snowy
9.02,87.00,6.0032,0,1,cloudy
9.84,60.0,27.9993,1,4,clear
9.02,55.00,16.9979,0,27,clear
8.2,51.00,19.0012,2,66,clear
8.2,47.00,22.0028,7,210,clear
8.2,51.00,23.9994,7,159,clear
8.2,47.00,31.0009,6,57,clear
9.02,41.00,31.0009,6,53,clear
9.02,27.00,39.0007,11,67,clear
8.2,21.00,39.0007,8,65,clear
8.2,25.00,35.0008,6,56,clear
6.56,26.00,30.0026,4,61,clear
6.56,26.00,23.9994,0,97,clear
5.74,28.00,23.9994,10,151,clear
4.92,30.0,16.9979,1,119,clear
4.92,30.0,22.0028,3,93,clear
4.1,33.00,27.9993,1,52,clear
3.28,38.00,19.0012,0,41,clear
2.46,41.00,26.0027,1,33,clear
2.46,38.00,22.0028,0,27,clear
1.64,45.00,16.9979,0,13,clear
1.64,41.00,26.0027,3,9,cloudy
1.64,41.00,16.9979,0,11,cloudy
1.64,41.00,19.0012,1,6,cloudy
0.82,48.00,19.9995,0,3,cloudy
0.82,44.00,15.0013,0,2,cloudy
0.82,44.00,19.0012,0,8,clear
0.82,44.00,22.0028,1,26,clear
1.64,41.00,16.9979,3,37,clear
1.64,41.00,11.0014,3,50,cloudy
2.46,38.00,8.9981,4,59,cloudy
2.46,38.00,7.0015,10,60,cloudy
3.28,35.00,0,12,72,clear
4.1,33.00,7.0015,11,64,clear
4.92,28.00,0,10,93,clear
4.92,28.00,12.998,11,72,clear
4.92,28.00,0,8,59,clear
3.28,35.00,12.998,0,54,clear
3.28,35.00,8.9981,6,53,clear
2.46,45.00,11.0014,1,44,clear
2.46,41.00,6.0032,0,39,clear
2.46,49.00,0,7,23,clear
1.64,57.00,7.0015,2,31,clear
1.64,57.00,7.0015,2,20,clear
1.64,57.00,7.0015,1,12,clear
0.82,62.00,8.9981,3,15,clear
0.82,62.00,8.9981,1,4,clear
1.64,57.00,7.0015,0,3,cloudy
1.64,57.00,7.0015,0,1,cloudy
3.28,58.00,11.0014,1,1,clear
2.46,62.00,11.0014,2,17,clear
4.1,54.00,23.9994,3,25,clear
5.74,46.00,26.0027,7,51,clear
5.74,43.00,15.0013,22,77,clear
6.56,37.00,31.0009,24,92,clear
5.74,33.00,26.0027,12,75,clear
6.56,28.00,23.9994,17,93,clear
6.56,28.00,23.9994,13,64,clear
6.56,26.00,22.0028,9,56,clear
5.74,26.00,26.0027,5,50,clear
4.92,30.0,16.9979,5,44,clear
4.92,30.0,19.0012,5,45,clear
4.1,36.00,16.9979,4,31,clear
4.1,36.00,12.998,5,20,clear
3.28,38.00,12.998,5,23,clear
2.46,41.00,15.0013,4,17,clear
2.46,41.00,12.998,0,7,clear
1.64,45.00,12.998,0,1,clear
1.64,45.00,16.9979,0,1,clear
0.82,48.00,8.9981,0,1,clear
0.82,48.00,8.9981,0,5,clear
0.82,48.00,6.0032,0,15,clear
0.82,48.00,0,5,79,clear
1.64,49.00,0,6,171,clear
2.46,41.00,0,4,98,clear
4.1,42.00,0,6,34,clear
4.1,46.00,8.9981,3,43,clear
4.92,42.00,12.998,11,52,cloudy
5.74,43.00,15.0013,6,54,cloudy
5.74,46.00,15.0013,2,43,cloudy
6.56,40.0,11.0014,7,50,clear
6.56,47.00,16.9979,4,66,clear
5.74,50.0,16.9979,6,178,clear
5.74,59.00,12.998,8,145,clear
5.74,54.00,11.0014,5,101,clear
5.74,59.00,12.998,1,80,clear
5.74,63.00,11.0014,6,53,clear
5.74,63.00,15.0013,3,32,cloudy
6.56,64.00,16.9979,3,21,cloudy
6.56,69.00,19.0012,3,6,cloudy
6.56,69.00,11.0014,0,5,cloudy
6.56,69.00,15.0013,0,2,clear
5.74,74.00,7.0015,0,1,clear
5.74,74.00,15.0013,0,9,clear
6.56,74.00,7.0015,1,35,clear
6.56,74.00,15.0013,5,103,clear
6.56,74.00,8.9981,5,233,cloudy
8.2,64.00,6.0032,10,134,cloudy
9.02,60.0,7.0015,6,49,cloudy
9.84,60.0,8.9981,6,55,cloudy
10.66,56.00,6.0032,21,85,cloudy
10.66,56.00,8.9981,21,72,cloudy
12.3,45.00,0,11,57,cloudy
13.12,42.00,0,21,63,cloudy
13.12,42.00,0,14,102,cloudy
12.3,45.00,0,14,208,clear
12.3,49.00,6.0032,7,218,cloudy
10.66,65.00,11.0014,13,133,cloudy
9.84,65.00,12.998,16,103,clear
9.84,65.00,12.998,5,40,clear
9.02,64.00,11.0014,4,49,clear
9.02,64.00,11.0014,3,37,cloudy
9.02,69.00,8.9981,3,14,cloudy
9.84,65.00,8.9981,0,5,cloudy
9.02,69.00,12.998,3,7,rainy/snowy
8.2,86.00,19.0012,0,1,rainy/snowy
8.2,86.00,19.0012,0,8,rainy/snowy
9.02,87.00,19.9995,1,29,rainy/snowy
9.02,87.00,19.9995,3,69,rainy/snowy
9.02,87.00,19.9995,3,55,rainy/snowy
9.02,93.00,19.0012,2,26,rainy/snowy
9.02,93.00,22.0028,6,35,rainy/snowy
9.02,93.00,22.0028,7,41,rainy/snowy
9.02,93.00,22.0028,4,43,rainy/snowy
9.02,93.00,23.9994,0,36,rainy/snowy
9.02,93.00,31.0009,1,42,rainy/snowy
9.02,93.00,22.0028,1,35,rainy/snowy
8.2,93.00,23.9994,0,26,rainy/snowy
9.02,55.00,12.998,1,23,clear
9.02,55.00,7.0015,2,82,clear
8.2,69.00,6.0032,3,101,clear
8.2,69.00,6.0032,3,76,clear
7.38,74.00,6.0032,4,55,clear
7.38,74.00,6.0032,2,36,clear
7.38,74.00,6.0032,0,27,clear
7.38,80.0,11.0014,0,16,clear
8.2,75.00,8.9981,0,9,cloudy
8.2,75.00,8.9981,1,2,cloudy
8.2,75.00,11.0014,0,2,cloudy
8.2,75.00,7.0015,1,0,cloudy
7.38,80.0,7.0015,0,4,cloudy
7.38,80.0,8.9981,0,16,cloudy
6.56,86.00,6.0032,2,58,cloudy
6.56,86.00,6.0032,2,155,cloudy
7.38,86.00,6.0032,6,95,rainy/snowy
7.38,86.00,7.0015,0,49,rainy/snowy
7.38,93.00,7.0015,0,30,rainy/snowy
7.38,93.00,7.0015,1,28,rainy/snowy
7.38,93.00,7.0015,0,31,rainy/snowy
9.02,80.0,0,2,36,rainy/snowy
8.2,86.00,0,1,40,cloudy
9.02,80.0,0,10,70,clear
9.84,75.00,8.9981,2,147,clear
9.84,75.00,12.998,2,107,clear
9.84,75.00,8.9981,5,84,cloudy
9.84,70.0,12.998,1,61,cloudy
9.02,75.00,8.9981,1,57,cloudy
9.84,65.00,23.9994,0,26,clear
9.84,60.0,15.0013,1,22,clear
9.02,64.00,23.9994,2,26,clear
9.02,64.00,12.998,0,20,clear
9.02,64.00,11.0014,0,15,clear
8.2,64.00,8.9981,3,5,clear
6.56,69.00,7.0015,1,2,clear
6.56,64.00,8.9981,0,2,clear
6.56,59.00,7.0015,1,4,clear
7.38,55.00,11.0014,3,31,clear
7.38,59.00,6.0032,0,34,clear
7.38,64.00,7.0015,4,51,cloudy
7.38,64.00,8.9981,4,60,cloudy
8.2,59.00,12.998,12,66,cloudy
9.02,55.00,11.0014,9,56,cloudy
9.02,60.0,8.9981,10,89,cloudy
9.02,69.00,16.9979,22,98,clear
9.84,60.0,11.0014,19,88,clear
9.84,60.0,0,9,82,clear
9.02,69.00,8.9981,9,59,clear
9.02,69.00,16.9979,6,52,cloudy
7.38,74.00,6.0032,1,42,clear
7.38,74.00,6.0032,1,35,clear
6.56,80.0,6.0032,4,28,clear
6.56,80.0,6.0032,3,30,clear
6.56,80.0,7.0015,0,33,clear
5.74,80.0,0,7,22,clear
6.56,80.0,0,1,10,clear
5.74,93.00,0,1,7,clear
5.74,93.00,0,0,1,clear
5.74,86.00,0,0,3,clear
5.74,86.00,0,0,3,clear
5.74,86.00,0,1,11,cloudy
6.56,80.0,0,4,34,cloudy
7.38,80.0,0,7,57,cloudy
9.02,75.00,0,9,50,clear
12.3,52.00,7.0015,10,87,clear
11.48,61.00,7.0015,13,71,clear
11.48,61.00,6.0032,18,104,clear
12.3,56.00,0,14,95,clear
12.3,56.00,0,19,104,clear
12.3,56.00,12.998,6,71,clear
10.66,65.00,11.0014,8,57,clear
10.66,65.00,12.998,9,46,clear
10.66,65.00,7.0015,3,30,cloudy
9.84,70.0,11.0014,3,25,cloudy
9.84,70.0,12.998,2,19,cloudy
9.84,65.00,19.0012,5,16,cloudy
9.84,65.00,15.0013,1,6,cloudy
9.02,64.00,16.9979,2,5,clear
9.02,64.00,12.998,0,1,clear
9.02,64.00,12.998,0,2,clear
8.2,59.00,15.0013,0,2,clear
7.38,64.00,19.0012,0,8,clear
6.56,69.00,22.0028,0,37,clear
6.56,64.00,19.0012,1,71,cloudy
